"Tabela 1737 - IPCA - Série histórica com número-índice, variação mensal e variações acumuladas em 3 meses, em 6 meses, no ano e em 12 meses (a partir de dezembro/1979)"
"Mês","","Variável"
"Mês","","IPCA - Número-índice (base: dezembro de 1993 = 100) (Número-índice)","IPCA - Variação mensal (%)","IPCA - Variação acumulada em 3 meses (%)","IPCA - Variação acumulada em 6 meses (%)","IPCA - Variação acumulada no ano (%)","IPCA - Variação acumulada em 12 meses (%)"
"dezembro 1979","Brasil","0.0000000076183","...","...","...","...","..."
"janeiro 1980","Brasil","0.0000000081223","6.62","...","...","6.62","..."
"fevereiro 1980","Brasil","0.0000000084973","4.62","...","...","11.54","..."
"março 1980","Brasil","0.0000000090104","6.04","18.27","...","18.27","..."
"abril 1980","Brasil","0.0000000094867","5.29","16.80","...","24.53","..."
"maio 1980","Brasil","0.0000000100277","5.70","18.01","...","31.63","..."
"junho 1980","Brasil","0.0000000105597","5.31","17.19","38.61","38.61","..."
"julho 1980","Brasil","0.0000000111453","5.55","17.48","37.22","46.30","..."
"agosto 1980","Brasil","0.0000000116965","4.95","16.64","37.65","53.53","..."
"setembro 1980","Brasil","0.0000000121913","4.23","15.45","35.30","60.03","..."
"outubro 1980","Brasil","0.0000000133471","9.48","19.76","40.69","75.20","..."
"novembro 1980","Brasil","0.0000000142378","6.67","21.73","41.98","86.89","..."
"dezembro 1980","Brasil","0.0000000151795","6.61","24.51","43.75","99.25","99.25"
"janeiro 1981","Brasil","0.0000000162174","6.84","21.51","45.51","6.84","99.67"
"fevereiro 1981","Brasil","0.0000000172555","6.40","21.19","47.53","13.68","103.07"
"março 1981","Brasil","0.0000000181134","4.97","19.33","48.58","19.33","101.03"
"abril 1981","Brasil","0.0000000192839","6.46","18.91","44.48","27.04","103.27"
"maio 1981","Brasil","0.0000000203560","5.56","17.97","42.97","34.10","103.00"
"junho 1981","Brasil","0.0000000214792","5.52","18.58","41.50","41.50","103.41"
"julho 1981","Brasil","0.0000000228229","6.26","18.35","40.73","50.35","104.78"
"agosto 1981","Brasil","0.0000000240772","5.50","18.28","39.53","58.62","105.85"
"setembro 1981","Brasil","0.0000000253429","5.26","17.99","39.91","66.95","107.88"
"outubro 1981","Brasil","0.0000000266297","5.08","16.68","38.09","75.43","99.52"
"novembro 1981","Brasil","0.0000000280335","5.27","16.43","37.72","84.68","96.89"
"dezembro 1981","Brasil","0.0000000296946","5.93","17.17","38.25","95.62","95.62"
"janeiro 1982","Brasil","0.0000000317628","6.97","19.28","39.17","6.97","95.86"
"fevereiro 1982","Brasil","0.0000000338708","6.64","20.82","40.68","14.06","96.29"
"março 1982","Brasil","0.0000000358057","5.71","20.58","41.28","20.58","97.68"
"abril 1982","Brasil","0.0000000379137","5.89","19.37","42.37","27.68","96.61"
"maio 1982","Brasil","0.0000000404382","6.66","19.39","44.25","36.18","98.65"
"junho 1982","Brasil","0.0000000433113","7.10","20.96","45.86","45.86","101.64"
